ID,Sector,Problem,Impact,Impact Rationale,Size,Size Rationale,Urgency,Urgency Rationale,Feas 24h,Feas 1mo,Feas 1yr,Feas Mean,Feasibility Rationale,Extent,Extent Rationale,Aggregate,Rank
NP-01,Non-profit,Chronic funding shortfalls & operating deficits,75,Serious service degradation; 36% of orgs in deficit; beneficiaries lose access.,90,Universal: every nonprofit affected; millions of beneficiaries downstream.,80,Accelerating post-2024 funding cuts (NL dev budget -2/3 over 3 years); deficits widening now.,35,45,55,45.0,"Systemic funding cannot be fixed by software; adjacent tools (efficiency, reporting) feasible but don't move the core.",40,Technology can only trim overhead; underlying revenue gap is structural.,66.0,29
NP-02,Non-profit,Grant writing administrative burden,65,Real but not life-or-death; systemic underfunding of grassroots is the indirect effect.,80,"Thousands of orgs in NL, millions globally writing grants annually.",65,"Chronic, not acute; no escalation trigger.",85,90,92,89.0,"LLMs tailor-made for this: proposal drafting, funder matching, compliance checks — production-quality in 24h.",75,"60–80% of writing time can be automated; not the same as winning more grants, but directly reduces burden.",74.8,14
NP-03,Non-profit,Donor retention decline & shifting giving behaviour,70,Financial health hit; flexible unrestricted revenue disappears first.,85,Broad: all fundraising nonprofits across EU.,75,Declining actively; platform policy changes compound the effect.,55,70,75,66.6666666666667,CRM/engagement prototypes feasible; requires donor-data integration to be meaningful.,50,Many platforms exist; marginal differentiation available.,69.3333333333333,23
NP-04,Non-profit,Digital maturity gap (88% of nonprofits stuck),65,Efficiency and reach erosion; compounds over time.,85,88% of nonprofits globally.,60,Chronic; no single crisis moment.,40,55,70,55.0,Too meta for a 24h hackathon; specific tools help but the gap is organisational.,45,Partial — technology adoption requires culture change.,62.0,35
NP-05,Non-profit,Volunteer recruitment shortfall,60,Service capacity constrained; events cancelled.,85,46.8% of nonprofit leaders cite this as top challenge.,70,Post-COVID decline in formal volunteering; trend continues.,75,82,85,80.6666666666667,Matching platforms highly tractable; dozens of competing products.,55,Improves matching quality but structural volunteer decline needs more.,70.1333333333333,22
NP-06,Non-profit,Volunteer retention and coordination chaos,55,"Knowledge loss, onboarding tax; less acute than recruitment.",80,Most orgs that recruit volunteers; high turnover sector-wide.,60,Chronic.,70,80,85,78.3333333333333,"Lifecycle tooling (scheduling, recognition, comms) is well-scoped.",55,Measurable improvement possible; not transformative.,65.6666666666667,31
NP-07,Non-profit,Impact measurement complexity & reporting burden,60,Funding-cycle quality; learning loop broken.,85,Universal expectation from funders.,55,Chronic; no acute moment.,60,75,85,73.3333333333333,Outcome-tracking demos feasible; integration with funder reporting formats harder.,65,Real efficiency gains if adoption sticks.,67.6666666666667,26
NP-08,Non-profit,Staff burnout and compensation gap,75,"Mental health, attrition, cascading service degradation.",80,Broad across sector; 11%+ vacancy rates common.,75,Rising with workload.,30,40,55,41.6666666666667,Burnout is not primarily a tech problem; wellness apps exist but impact questionable.,40,Marginal — requires compensation and structural change.,62.3333333333333,34
NP-09,Non-profit,Senior leadership recruitment difficulty,60,"Strategic drift, funder-relationship fragility.",70,75%+ of nonprofits report this.,55,Chronic.,40,50,60,50.0,Hiring is not a hackathon-scale problem for leadership roles.,45,Limited — matching platforms exist.,56.0,38
NP-10,Non-profit,NGO cybersecurity vulnerability,85,"Beneficiary harm (refugees, activists); ICRC-scale breaches documented.",80,Only 1 in 10 NGOs trains regularly; attack rate rising.,85,Active attacks ongoing; ransomware routine.,55,70,80,68.3333333333333,Training tools feasible; real security posture requires deeper integration.,60,Partial mitigation possible; elimination impossible.,75.6666666666667,11
NP-11,Non-profit,Cross-border EU regulatory compliance burden,55,€90–101M/yr compliance cost; narrower impact.,55,Medium-sized nonprofits with EU ambitions.,45,Chronic; no EU statute incoming imminently.,45,60,70,58.3333333333333,Compliance-checker demos feasible but legal nuance limits utility.,50,Partial — the policy is the bottleneck.,52.6666666666667,40
NP-12,Non-profit,Platform ad policy restrictions on nonprofits,50,Donor-acquisition efficiency loss.,70,Most digital-fundraising nonprofits.,55,"Active, but platform-dependent.",50,60,65,58.3333333333333,Workarounds feasible; structural fix requires platform policy change.,40,Limited — platforms control the rules.,54.6666666666667,39
NP-13,Non-profit,Food banks reach only 15–17% of eligible population,80,People go hungry who qualify for help; dignity and health harm.,80,100k+ eligible-but-unreached in NL; similar gaps in Belgium/Germany.,80,Rising cost-of-living expanding the gap now.,75,85,88,82.6666666666667,Outreach + eligibility assessment + referral app highly tractable in 24h.,70,Material reach improvement possible — 2–3× current coverage within reason.,78.5333333333333,6
NP-14,Non-profit,Food bank supply decline as retailers reduce waste,70,Lower nutritional quality for recipients; mission tension (waste vs. aid).,70,All Dutch food banks; similar pattern EU-wide.,70,Structural shift happening now (retail ESG pressure).,65,80,85,76.6666666666667,Surplus-food matching apps well-understood; last-mile logistics harder.,65,Real gains possible; cannot create supply that doesn't exist.,70.3333333333333,21
NP-15,Non-profit,Refugees cannot navigate digitalised Dutch bureaucracy,80,"Integration failure: housing, healthcare, education, employment access.",75,150k+ refugees in NL plus annual inflow; scales EU-wide.,85,Dutch bureaucracy continues digitalising; gap growing.,80,88,92,86.6666666666667,AI multilingual procedural assistant for DigiD/Gemeente is ideally suited to hackathon scope.,75,Large — can substantially reduce friction for first-year newcomers.,80.3333333333333,3
NP-16,Non-profit,Refugee labour-market underutilisation,80,"Poverty (25% at/below poverty line), wasted skills.",75,150k+ status holders in NL; 10% employment for recent arrivals.,75,Chronic; accelerated by post-2022 inflow.,65,80,85,76.6666666666667,Job-matching + skill-recognition demo feasible; diploma recognition is structural.,55,Partial — hiring bias and credentialing are not primarily tech problems.,72.3333333333333,18
NP-17,Non-profit,Homeless EU citizens denied shelter in Dutch cities,95,Cold-exposure deaths; rough sleeping; 75–80% of rough sleepers in big Dutch cities are EU citizens.,50,"~6,000 in NL (rising from 2,500).",90,Acute: annual winter cycle; policy confrontation now.,45,55,65,55.0,Rights-awareness / navigation app possible but doesn't fix policy.,40,Limited — core issue is municipal exclusion policy.,66.0,29
NP-18,Non-profit,Shelter safety deters the most vulnerable from using it,85,"Preventable hypothermia, substance-related harm.",55,~40k homeless in NL; subset refusing shelter.,85,Acute in winter; chronic year-round.,40,50,60,50.0,Shelter design is a physical/organisational problem; tech support role is small.,35,Very limited — requires shelter-model change.,62.0,35
NP-19,Non-profit,Elderly loneliness and social isolation,75,Morbidity/mortality link; healthcare utilisation increased.,80,Millions of EU seniors; 1 in 11 severely lonely in NL.,70,Demographic ageing; COVID after-effects linger.,70,80,85,78.3333333333333,Connection/companion platforms feasible; sensitive design needed.,55,Partial — can complement but not replace human contact.,71.6666666666667,20
NP-20,Non-profit,Domestic-violence victims not reaching support services,95,"Severe injury, femicide, child exposure.",75,100k+ victims in NL; ~3% reach Veilig Thuis.,95,Acute; escalation daily; femicide cases are current news.,70,85,90,81.6666666666667,Anonymous / stealth help app with routing and risk assessment is highly feasible.,60,"Material increase in help-seeking possible, but criminal-justice pipeline remains.",81.3333333333333,2
ES-01,Emergency Services,Ambulance response-time standard breached,90,"Deaths from delay in cardiac, stroke, trauma.",85,9.3% of Dutch urgent responses exceed 15 min; millions affected by policy.,85,Worsening trend since 2019; 2025 data confirms.,45,60,75,60.0,Optimisation demos feasible; data access via RIVM is non-trivial.,55,Partial — cannot fix staffing but can improve deployment.,75.0,13
ES-02,Emergency Services,Rural / remote ambulance access gap,88,Two-tier emergency care; worse outcomes in rural areas.,60,63 villages + rural population; bounded geographic scope.,80,Structural; worsening.,40,55,70,55.0,Volunteer-responder networks are the proven intervention but physical.,50,"Partial — augmentation, not replacement.",66.6,27
ES-03,Emergency Services,Language barriers in 112 calls,90,Delay in life-threatening calls; reduced bystander CPR for LEP callers.,75,Millions of non-Dutch speakers in NL; 28% of abroad-callers face issues.,85,Rising migrant/tourist population; no systemic fix deployed.,85,92,95,90.6666666666667,Real-time AI translation at the call-centre is a flagship hackathon fit; APIs mature.,80,Major — studies show minute-level latency wins save thousands of lives.,84.1333333333333,1
ES-04,Emergency Services,Dispatcher recognition of out-of-hospital cardiac arrest,95,Direct survival link; every minute of delay -7 to -10% survival.,65,~12k OHCAs/year in NL; larger subset where dispatch fails.,90,Every call matters; ongoing.,70,82,90,80.6666666666667,Call-analysis ML demo feasible; integration with CAD harder.,70,Large — decision support at dispatch is well-validated.,80.1333333333333,5
ES-05,Emergency Services,Dispatcher-assisted CPR refusal and delay,92,Time-to-compression is direct survival predictor.,65,Majority of OHCA calls.,90,Active problem every call.,65,78,85,76.0,Calming-script + instruction optimisation apps feasible; evaluation harder.,65,Meaningful — field trials show seconds-to-minutes gains.,77.6,8
ES-06,Emergency Services,Seizure-like activity confuses dispatch recognition,90,Direct survival delay when recognition fails.,50,~30% of OHCAs show seizure-like activity; narrower subset.,85,Every call; chronic.,60,75,85,73.3333333333333,Specific ML classifier on call audio is a well-scoped prototype.,70,Large — targeted intervention on a known failure mode.,73.6666666666667,17
ES-07,Emergency Services,First-responder PTSD,80,"Suicide, attrition, cascading service impact.",70,~30% of first responders; EU-wide.,75,Post-COVID increases; chronic.,45,55,70,56.6666666666667,Support apps exist; evidence of effectiveness mixed.,50,Partial — requires organisational + clinical change.,66.3333333333333,28
ES-08,Emergency Services,EMS / paramedic operational burnout,75,Patient-safety (fatigue → errors); workforce shortage feedback loop.,70,All ambulance and fire services.,70,Chronic; workload rising.,40,55,65,53.3333333333333,"Fatigue-monitoring, scheduling tools feasible but limited agency adoption.",45,Partial.,62.6666666666667,33
ES-09,Emergency Services,Dispatch overtriage strains ambulance resources,75,Resource depletion → downstream delays for real emergencies.,80,74.5% overtriage in documented systems; enormous daily volume.,75,Worsening in systems with tighter undertriage tolerance.,70,82,90,80.6666666666667,Decision-support overlay on MPDS/ProQA is a flagship use case for LLMs.,70,Major — accuracy gains of 10–20% translate to real capacity.,76.1333333333333,10
ES-10,Emergency Services,Dispatch undertriage delays time-critical care,90,"Direct delay of life-saving care (STEMI, stroke, anaphylaxis, sepsis).",65,5–28% undertriage rates; thousands of cases per year.,85,Balance trade-off with overtriage makes this an active problem.,70,82,90,80.6666666666667,Same tooling as ES-09; same feasibility.,70,Major — targeted safety uplift.,78.1333333333333,7
ES-11,Emergency Services,Mental-health crisis defaulted to police response,90,Deaths in custody; retraumatisation; arrests instead of care.,80,Up to 19% of call volume is behavioural-health related.,85,Active — US/EU reforms underway; NL lagging on specialised response.,55,70,80,68.3333333333333,Dispatch-routing decision support feasible; requires mobile-team deployment to pair.,55,Partial — tech can route but cannot create clinicians.,75.6666666666667,11
ES-12,Emergency Services,AED temporal-access gap (off-hours closures),90,Measurable survival gap at night (worst OHCA outcomes).,65,"~1,500 registered AEDs in NL; large fraction off-hours locked.",85,Every nighttime OHCA; no sector-wide fix deployed.,80,88,92,86.6666666666667,"Registry + hours + routing is a straightforward hackathon build, can plug into HartslagNu.",75,Major — Toronto study shows 25% coverage uplift possible.,80.3333333333333,3
ES-13,Emergency Services,Residential cardiac-arrest coverage gap,88,Majority of OHCAs are at home; survival much lower.,70,Majority of ~12k OHCAs/year in NL occur at home.,80,Chronic; HartslagNu partially addresses.,60,75,85,73.3333333333333,Neighbour AED-sharing + volunteer-responder enhancements are feasible.,60,Partial — cannot place AEDs everywhere; routing gains meaningful.,74.2666666666667,16
ES-14,Emergency Services,Multi-agency information silos in disaster response,75,Delayed situational awareness; duplicated deployments.,70,All civil-protection actors in a major incident.,65,Chronic; acute during actual disasters.,45,60,75,60.0,Interoperability is inherently multi-party; demos feasible but real deployment slow.,55,Partial.,65.0,32
ES-15,Emergency Services,Cross-border EU emergency coordination,75,Delayed mutual aid; inconsistent civilian messaging.,65,Border regions across EU.,60,Chronic.,35,50,65,50.0,Interoperability at state level is not a hackathon-achievable fix.,45,Limited.,59.0,37
ES-16,Emergency Services,Elderly/disabled residents under-served in flood evacuation,88,Disproportionate casualty distribution in floods/fires.,55,Elderly/disabled in flood zones; a meaningful subset of NL.,75,Climate-driven flood frequency rising.,65,78,85,76.0,Registry + alert + pickup coordination app is well-scoped.,65,Meaningful — targeted workflow improvement.,71.8,19
ES-17,Emergency Services,Emotionally-stressed callers degrade call quality,80,Longer time to first compression; dispatcher secondary trauma.,60,~32% of callers in OHCA calls; similar in trauma.,75,Every high-stakes call.,65,78,85,76.0,Emotional-state classification + calming scripts feasible.,55,"Partial — instrument-level, not structural.",69.2,24
ES-18,Emergency Services,Bystander AED use remains very low (~4%),92,Chain-of-survival breaks even when link 1 succeeds.,65,Most public OHCAs have an AED nearby but unused.,85,Chronic; no structural fix in most countries.,75,85,90,83.3333333333333,AR guidance + confidence-building + dispatcher coaching are achievable.,60,Meaningful — HartslagNu-style models can push usage to 50%+.,77.0666666666667,9
ES-19,Emergency Services,Wildfire & water-incident early detection in thin-monitoring areas,78,Escalation before recognition; shrinking evacuation windows.,55,Increasing NL/Benelux wildfire risk; wider globally.,70,Climate-driven rising risk.,60,75,85,73.3333333333333,Satellite/IoT + ML classifier demo feasible; integration with safety regions harder.,65,Meaningful.,68.2666666666667,25
ES-20,Emergency Services,Domestic-violence cases reach police only in crisis,90,Femicide risk; repeat call-outs.,70,Linked to NP-20; 100k+ victims.,85,Acute; escalation weekly nationally.,60,75,85,73.3333333333333,Risk-assessment + repeat-address analytics for police feasible.,55,Partial — tech cannot replace prevention capacity.,74.6666666666667,15
