Idea ID,Problem ID,Idea,Urgency,Impact,Feasibility,Cost Efficiency,Likelihood,Wow Factor,Innovation,Build Local,Technical Execution,Impact & Viability,Pitch & Presentation,Aggregate,Rank,Notes
NP-15-B,NP-15,Photograph-a-letter translator + action advisor,85,80,90,88,85,92,85,95,82,85,95,87.5,1,"Belastingdienst/Gemeente letters are universal NL pain. OCR+LLM mature. One-screen demo with real letter on stage. Lands with all four judges; consumer + nonprofit + municipal angle."
ES-18-A,ES-18,AR AED opening walkthrough,85,92,75,70,70,87,82,80,82,78,88,80.8,2,"Tactile demo with real Philips HeartStart on stage. CV+AR build is non-trivial but tractable in 24h. Strong ""technology saves life"" pitch arc."
NP-13-A,NP-13,Self-service eligibility estimator + warm handoff,80,80,88,85,82,70,72,90,78,82,80,80.6,3,"Voedselbanken NL partnership natural. Chatbot+pre-fill fits 24h. Reaches 100k+ unreached eligible. Mission narrative crisp."
NP-20-B,NP-20,AI safety-planning chatbot in Dutch + migrant languages,95,92,85,82,80,68,70,82,78,80,75,80.6,4,"DV is acute (~3% reach Veilig Thuis). LLM+KB build well-scoped. Risk: chatbot demos commoditised, execution must shine."
ES-12-A,ES-12,Operational-hours overlay on HartslagNu,85,90,82,80,80,65,75,90,78,82,78,80.5,5,"HartslagNu is iconic NL infra. Map overlay self-explanatory. Toronto study shows 25% coverage uplift."
NP-20-A,NP-20,Dual-purpose 'decoy' safety app with LINK integration,95,92,70,60,70,88,78,85,75,75,88,79.6,6,"Reveal moment is cinematic. Anti-discovery UX adds engineering cost. NL-specific via LINK + Veilig Thuis."
ES-04-A,ES-04,Real-time OHCA call-audio classifier (explainable),90,95,70,62,70,78,75,80,85,82,75,78.4,7,"Explainability is the differentiator vs Corti (Blomberg JAMA RCT). Founder-judges (van Lanschot, Mol) respond to this category."
ES-18-B,ES-18,Dispatch-optimised volunteer role assignment,85,92,70,65,68,72,85,92,75,80,78,78.4,8,"HartslagNu integration high local credibility. Live map with named volunteers tells crisp collaboration story."
ES-05-A,ES-05,AR-guided CPR via smartphone video,90,92,65,58,60,88,82,75,82,78,90,78.2,9,"Most cinematic possible demo (phone over mannequin). 24h AR build + consent UX is the risk."
ES-03-A,ES-03,Real-time two-way speech translation overlay for 112,85,90,88,80,85,55,50,78,80,85,65,76.5,10,"APIs mature, integration tractable. Carbyne/Prepared already deployed in US/DE — judges may see as derivative."
NP-15-A,NP-15,Multilingual DigiD / Gemeente procedural assistant,85,80,82,78,78,62,60,92,75,80,68,76.4,11,"Skendy + RefuGPT exist; differentiation is execution. NL bureaucracy fit very strong."
ES-05-B,ES-05,Adaptive DA-CPR script for physical-constraint scenarios,90,92,80,75,75,58,78,75,75,72,62,75.6,12,"Branching script tractable; dispatcher-screen demo quiet vs AR sibling."
ES-09-C,ES-09,Explainable shadow-reasoning dispatch assistant,75,75,70,62,65,75,85,75,82,82,72,74.4,13,"Reasoning trace lands with explainability-curious judges. Same problem as ES-04-A but applied to triage."
ES-10-B,ES-10,LLM-driven adaptive questioning for ambiguous symptoms,85,90,72,68,68,58,78,78,75,78,62,73.8,14,"Novel reframing of MPDS but visually quiet on stage."
ES-18-C,ES-18,Residential-zone AED confidence nudge,85,92,80,78,75,52,75,78,65,70,55,73.2,15,"Push notifications structurally low-drama; insight strong but doesn't pitch."
ES-03-B,ES-03,Voice-first multilingual pre-call app (112 companion),85,90,70,70,65,62,78,75,70,70,65,72.7,16,"Genuinely novel caller-side approach (US11589205 covers server-side only). Pre-call adoption is the viability risk."
ES-04-B,ES-04,Caller-smartphone OHCA visual confirmation,90,95,60,55,55,72,85,75,75,68,65,72.3,17,"Highly novel but consent-then-camera flow clunky on stage; idea > demo."
ES-09-A,ES-09,LLM advisory flagging likely-overtriage cases,75,75,72,70,72,58,75,75,75,82,62,71.9,18,"Quebec 74.5% overtriage figure quantifies value. Quiet dispatcher-internal demo."
ES-04-C,ES-04,Post-call LLM QI reviewer,90,95,75,72,75,45,72,75,70,70,50,71.7,19,"Operationally useful, dashboard demo dead on stage."
ES-10-A,ES-10,ML secondary-review overlay for low-priority dispatches,85,90,65,60,65,55,72,75,75,80,55,70.6,20,"Uppsala RCT scaffolds. Synthetic call data demo needs heavy explanation."
ES-05-C,ES-05,Audio metronome + calming soundscape,90,92,90,90,85,40,65,68,60,55,38,70.3,21,"Trivial to build, but ""we built a metronome"" sinks ambition signal with founder-judges."
NP-15-C,NP-15,AI + peer-navigator hybrid,85,80,65,60,60,58,75,80,65,70,58,68.7,22,"Two-sided workflow. Hard to demo end-to-end; soul of idea fights pitch format."
ES-10-C,ES-10,Post-dispatch callback prioritisation,85,90,68,62,65,45,72,75,70,72,48,68.4,23,"CAD integration required. ""Save lives by ordering a list"" doesn't land in 5min."
ES-09-B,ES-09,In-call non-urgent self-service chatbot,75,75,68,65,65,55,72,72,70,78,55,68.2,24,"Portugal INEM pilot precedent. ""Redirected from 112 to chatbot"" is socially delicate framing."
NP-20-C,NP-20,Frontline-professional silent-referral tool,95,92,60,60,60,50,75,75,60,68,55,68.2,25,"Real Meldcode gap but multi-party demo mostly slides + personas."
ES-12-B,ES-12,24/7 residential AED neighbour programme,85,90,55,50,55,58,88,80,55,68,58,67.3,26,"Globally novel programme but multi-quarter operational build, not 24h hackathon."
ES-03-C,ES-03,LLM speech reconstruction for panicked callers,85,90,60,55,55,55,80,65,75,65,55,67.3,27,"Frontier research (Venkateshperumal 2024 on synthetic only). Reconstructed text invisible to audience."
ES-12-C,ES-12,Remote-unlock outdoor AED cabinet (IoT retrofit),85,90,50,45,55,62,75,75,60,62,62,65.5,28,"Hardware + IoT + dispatch glue prohibitive in 24h. Live cabinet unlock would be dramatic if achievable."
NP-13-B,NP-13,Proactive referral via partner-institution screening,80,80,55,55,55,45,78,82,60,70,50,64.5,29,"Wgs 2021 debt analogue. Multi-party plumbing pitches as institutional diagrams."
NP-13-C,NP-13,Stigma-free supermarket voucher model,80,80,45,40,55,60,80,75,55,75,62,64.3,30,"UK Healthy Start proves model. Demo looks like any payment app; insight is the model not the screen."
